City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
108,Tshikapa,CD,83.53,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
115,Takoradi,GH,85.89,broken clouds,4.8845,-1.7554,Raybow International Hotel
116,Nchelenge,ZM,76.55,broken clouds,-9.3451,28.734,KD Travellers Home
119,Jaciara,BR,88.09,scattered clouds,-15.9653,-54.9683,Taba Hotel
121,Tehri,IN,76.71,clear sky,30.3833,78.4833,The Reindeer Resort Kanatal
125,Kankon,IN,84.0,broken clouds,15.0167,74.0167,Palolem Beach Resort
128,Vaini,TO,79.02,light rain,-21.2,-175.2,Keleti Beach Resort
129,Victoria,HK,75.38,clear sky,22.2855,114.1577,Mini Hotel Central
130,Grand Gaube,MU,76.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
138,Bathsheba,BB,81.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
141,Butaritari,KI,80.49,light rain,3.0707,172.7902,Isles Sunset Lodge
144,Najran,SA,86.11,clear sky,17.4924,44.1277,محمد هادي ال فطيح
146,Namatanai,PG,79.81,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
151,Sembe,CG,86.7,overcast clouds,1.6481,14.5806,
155,Chavakkad,IN,82.65,overcast clouds,10.5333,76.05,Rajah Island
156,Bairiki,KI,80.29,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
158,Buala,SB,79.29,light rain,-8.145,159.5921,Maringe Lagoon Lodge
162,Manadhoo,MV,85.68,overcast clouds,5.7667,73.3833,Bon Abri maldives
164,Vao,NC,77.22,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
166,Namibe,AO,75.13,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
172,Eyl,SO,81.9,clear sky,7.9803,49.8164,Amiin Hotel
174,Salvador,SV,80.06,few clouds,13.8333,-88.9167,Chico's Ranch
175,Mogadishu,SO,85.87,scattered clouds,2.0371,45.3438,Hotel Juba
